Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-09-23,19.695,19.695,19.254999,19.07,19.07,97,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-26,18.945,18.945,18.309999,19.32,19.32,423,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-27,18.805,19.385139,17.805,18.49,18.49,336,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-28,17.897499,17.897499,17.897499,17.897499,17.897499,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-29,19.834999,19.855,19.834999,19.8675,19.8675,2597,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-09-30,19.639999,19.639999,19.629999,17.9625,17.9625,165,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-03,20.08,20.08,20.08,17.897499,17.897499,10,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-04,16.695,18.71587,16.07,15.5475,15.5475,1616,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-05,16.67,16.67,16.67,16.67,16.67,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-06,15.76,15.76,15.76,14.65,14.65,114,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-07,18.4,18.4,18.4,18.4,18.4,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-10,19.684999,21.450001,19.245001,21.620001,21.620001,5271,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-11,22.190001,22.84,17.32198,22.16,22.16,2719,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-12,20.905001,21.225,20.905001,21.844999,21.844999,830,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-13,21.754999,21.754999,20.844999,20.635,20.635,209,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-14,20.325001,21.42,20.325001,21.895,21.895,660,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-17,21.955,21.955,21.955,19.385,19.385,90,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-18,17.120001,22.350849,17.120001,19.870001,19.870001,957,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-19,19.094999,19.094999,17.280001,17.950001,17.950001,3271,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-20,17.715,17.715,15.565,15.9125,15.9125,263,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-21,18.004999,18.004999,18.0,17.8125,17.8125,2913,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-24,17.34,17.709999,16.91,16.610001,16.610001,3400,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-25,19.24004,19.24004,17.997881,13.61,13.61,2776,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-26,13.085,13.085,13.085,13.085,13.085,0,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-27,13.045,13.045,12.56,12.9375,12.9375,2110,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-28,14.255,14.26,12.34,12.4075,12.4075,2491,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-10-31,11.84,12.625,11.605,12.29,12.29,1592,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-01,11.55,12.88935,11.55,11.875,11.875,2460,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-02,11.195,11.25,10.75,11.25,11.25,285,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2022-11-03,12.7,13.915,11.67,11.67,11.67,2089,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
